"Security Code","Security Name","Group","LTP","Chg","% Chg"
541083,"INFLAME","M",255,3,1.19
500355,"RALLIS","A",341.65,3.95,1.18
523323,"KOVAI","B",1404,16.35,1.18
526139,"TRABI","XT",4.43,0.05,1.18
531215,"RTSPOWR","X",52.8,0.6,1.18
531900,"CCLINTER","X",17.7,0.2,1.18
540614,"GGENG","B",26.15,0.3,1.18
543227,"HAPPSTMNDS","B",1580.8,17.4,1.18
524742,"CAPPL","A",695.45,8,1.17
532468,"KAMAHOLD","A",10230,114.15,1.16
541167,"YASHO","T",449.95,5.1,1.16
511551,"MONARCH","X",124,1.4,1.15
530019,"JUBLPHARMA","A",725.9,8.1,1.15
533033,"ISGEC","A",826,9.15,1.15
530079,"FAZE3Q","X",139.45,1.55,1.14
542812,"FLUOROCHEM","A",1499.1,16.75,1.14
543266,"HERANBA","B",739.5,8.15,1.14
509055,"VISAKAIND","B",766,8.55,1.13
523120,"ADORMUL","X",87,0.95,1.13
539017,"STARHFL","B",98.9,1.1,1.13
541347,"PARVATI","XT",7.51,0.08,1.12
541865,"ASRL","B",89,0.95,1.12
543066,"SBICARD","A",990.8,10.85,1.11
590056,"SALONACOT","B",195.55,2,1.11
511754,"SAHLIBHFI","X",79.9,0.8,1.1
515127,"RAMASIGNS","XT",3.83,0.04,1.1
524202,"LACTOSE","X",33,0.35,1.1
532395,"AXISCADES","T",98,1.05,1.1
532504,"NAVINFLUOR","A",3968.85,42.2,1.1
542911,"ASSAMENT","XT",1331.45,14,1.1
543290,"PGINVIT","IF",117.45,1.27,1.1
522113,"TIMKEN","A",1555,16.5,1.09
532805,"REDINGTON","A",330,3.5,1.09
508954,"FINKURVE","X",48.45,0.5,1.08
517449,"MAGNAELQ","X",186,1.95,1.08
530999,"BALAMINES","A",2994.5,30.9,1.08
531727,"MENNPIS","X",28.65,0.3,1.08
537750,"KIRANVYPAR","X",157.9,1.65,1.08
514087,"PBMPOLY","X",100,1.05,1.07
542233,"TREJHARA","B",62.6,0.65,1.07
890152,"URJAPP","T",2.93,0.03,1.07
511676,"GICHSGFIN","A",187.9,1.95,1.06
519600,"CCL","A",390.6,4.05,1.06
524164,"IOLCP","A",671.2,6.95,1.06
532323,"SHIVACEM","X",38.4,0.4,1.06
532926,"JYOTHYLAB","A",177.25,1.85,1.06
533289,"KTIL","X",68.75,0.7,1.06
539660,"BESTAGRO","B",475,4.8,1.06
541702,"ASHNI","XT",6.9,0.07,1.06
500290,"MRF","A",82600,857.75,1.05
503806,"SRF","A",7800,80.85,1.05
524394,"VIMTALABS","B",310,3.15,1.04
532019,"LCCINFOTEC","T",1.96,0.02,1.04
532341,"IZMO","B",88.6,0.9,1.04
532531,"STAR","A",798,8.15,1.04
523207,"KOKUYOCMLN","B",74.9,0.75,1.03
540775,"KHADIM","B",314,3.1,1.03
543258,"INDIGOPNTS","B",2645,26.6,1.03
500360,"RAPICUT","XT",35.7,0.35,1.02
532539,"MINDAIND","A",723.55,7.3,1.02
542857,"GREENPANEL","T",249.9,2.5,1.02
517500,"ROTO","X",207.4,2.05,1.01
524440,"CAMEXLTD","X",30.85,0.3,1.01
530677,"SUPREME","X",20.75,0.2,1.01
532240,"INDNIPPON","B",387,3.8,1.01
532695,"CELEBRITY","B",9.36,0.09,1.01
532947,"IRB","A",189.5,1.85,1.01
535431,"GCMSECU","M",2.08,0.02,1.01
500440,"HINDALCO","A",406,4,1
526193,"ROYALCU","XT",8.37,0.08,1
